tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Parkinson,Can khí uất kết – khí trệ huyết ứ,,"Đầu, hàm dưới, tay chân run, không thể cúi ngửa, đau cố định, mất cảm giác toàn thân hoặc tay chân, dễ tức giận, lưỡi đỏ tím, có vết xuất huyết, mạch Tế Huyền Sáp",lưỡi đỏ tím,mạch Tế Huyền Sáp,Trấn Can Tức Phong Thang hợp Thông Khiếu Hoạt Huyết Thang,"Tang kí sinh, Đan sâm, Đại giả thạch, Thạch quyết minh, Bạch thược, Xuyên luyện tử, Hương phụ, Thiên ma, Câu đằng, Ngưu tất, Qui đầu, Đào nhân, Hồng hoa, Uất kim, Xương bồ, Nhũ hương, Một dược, Cam thảo. (Can uất hoá hoả thêm Đơn bì, Chi tử, Hoàng cầm; Huyết hư thêm A giao, tăng Bạch thược; Tỳ hư thêm Bạch truật, Phục linh; Can Vị bất hoà thêm Sinh địa, Bán hạ, Tuyền phúc hoa; Đau cố định thêm Đan sâm, Kê huyết đằng; Run nhiều thêm Bạch tật lê, Toàn yết, Ngô công; Khó co duỗi thêm Địa long, Cát căn, Bạch hoa xà; Chi trên tê đau thêm Khương hoạt; Chi dưới tê đau thêm Mộc qua; Khớp đau thêm Uy linh tiên)"
Parkinson,Khí huyết đều hư - kinh mạch ứ trệ,,"Da mặt xanh xạm, mệt mỏi, uể oải, không sức, sợ lạnh, ngại nói, đầu chi co giật, cứng, tê, gáy cứng, đi lại khó, phân lỏng, dễ phù, lưỡi nhạt, rêu mỏng, có vết ứ huyết, mạch Trầm Tế","lưỡi nhạt, rêu mỏng",mạch Trầm Tế,"Quy Tỳ Thang, Bổ Dương Hoàn Ngũ Thang, Thiên Ma Câu Đằng Ẩm gia giảm","Đan sâm, Phục linh, Hoàng kỳ, Thục địa, Bạch thược, Ngũ vị, Câu đằng, Nhân sâm, Bạch truật, Thiên ma, Xuyên khung, Địa long, Toàn yết. (Tỳ dương hư thêm Phụ tử, Can khương; Thận dương hư thêm Bổ cốt chi, Nhục đậu khấu, Ngô thù du; Huyết hư thêm Kê huyết đằng, Đương quy; Phù thêm Trư linh, Trạch tả, Quế chi; Run nhiều thêm Bạch tật lê, Thuyền thoái; Khó co duỗi thêm Cát căn, Bạch hoa xà; Chi trên tê đau thêm Khương hoạt; Chi dưới tê đau thêm Mộc qua)"
Parkinson,Tỳ hư thấp trệ - đờm hoả quấy động phong,,"nặng đầu, sợ lạnh, tay chân lạnh, lòng bàn tay chân và ngực nóng, thức ăn không tiêu, phân lỏng, tay chân khó cử động, run, đầu lưỡi đỏ, lưỡi bệu, rêu trắng, mạch Huyền Hoạt","đầu lưỡi đỏ, lưỡi bệu, rêu trắng",mạch Huyền Hoạt,Thiên Ma Câu Đằng Ẩm gia giảm,"Tang kí sinh, Thạch quyết minh, Bán hạ, Nam tinh, Chỉ thực, Trần bì, Thiên ma, Câu đằng, Ngưu tất, Hoàng cầm, Cương tằm, Trúc lịch, Cam thảo. (Run nhiều thêm Bạch tật lê, Thuyền thoái; Khó co duỗi thêm Cát căn, Bạch hoa xà; Chi trên tê đau thêm Khương hoạt; Chi dưới tê đau thêm Mộc qua. Nếu Tỳ hư rõ, thay bằng: Hoàng cầm, Bán hạ, Phục linh, Bạch truật, Trần bì, Hương phụ, Sa nhân, Xuyên khung, Chỉ xác, Đởm nam tinh, Quế chi, Thiên ma, Toàn yết, Ngô công)"
Chấn thương sọ não,Huyết ứ,"chấn thương, va đập, tai nạn, ngã đầu, đập đầu, ngoại thương, bị thương","đau đầu như búa bổ, ngẩn ngơ thất thần, sốt, không ngủ, không ăn, nôn, rêu lưỡi vàng dày, mạch Huyền",rêu lưỡi vàng dày,mạch Huyền,Thanh não trục ứ thang,"Sinh địa hoàng, Bạch thược, Đào nhân, Hồng hoa, Câu đằng, Thạch quyết minh, Ti lạc qua, Cúc hoa, Trúc nhự, Cam thảo"
Chấn thương sọ não,Ứ tắc não lạc - Can phong,"chấn thương, va đập, tai nạn, ngã đầu, đập đầu, ngoại thương, bị thương","Đau đầu, chóng mặt, mất ngủ",,,Khử ứ an thần thang,"Đan sâm, Qui đầu, Hồng hoa, Tam thất, Phục thần, Cốt toái bổ, Tục đoạn, Địa long, Câu đằng, Cam thảo. (Đau đầu nặng gia Huyết kiệt, Nguyên hồ; Chóng mặt gia Sinh thạch quyết minh, Tật lê; Mất ngủ nhiều gia Trân châu mẫu; Bệnh giảm bỏ Tam thất, thêm Hà thủ ô, Nữ trinh tử)"
Chấn thương sọ não,Ứ tắc kinh lạc não,"chấn thương, va đập, tai nạn, ngã đầu, đập đầu, ngoại thương, bị thương",Di chứng chấn thương sọ não do bị thương vào đầu làm ứ tắc đường kinh lạc của não,,,Gia giảm thông khiếu hoạt huyết thang,"Xuyên khung, Xích thược, Hồng hoa, Đào nhân, Xạ hương, Cát căn, Bạch chỉ, Ngưu tất, Câu đằng, Cúc hoa, Sinh khương, Hành, Rượu"
Cổ trướng,Khí độc thấp trở,"bụng to, bụng căng, bụng trướng to, báng bụng, cổ trướng","Bụng to căng, ấn mềm, sườn buồn đầy tức hoặc đau nhói, ăn ít chậm tiêu, sau khi ăn ậm ạch khó chịu, đầy hơi, ợ hơi, đại tiện nhão, rặn khó hoặc đi vặt, Tiểu tiện ngắn ít, rêu trắng nhợt, mạch huyền",rêu trắng nhợt,mạch huyền,Sài hồ sơ can tán hợp Bình vị tán gia giảm,"Xương truật, Trích thảo, Hậu phác, Xuyên khung, Sài hồ, Bạch thược, Trần bì, Hương phụ, Chỉ sác (Tiểu tiện ít gia Sa tiền, Trư linh, Trạch tả; Bụng căng đầy gia Mộc hương, Binh lang; Hàn thấp nặng đại tiện lỏng gia Phụ tử, Can khương; Thấp nhiệt nặng gia Sơn chi, Đại hoàng)"
Cổ trướng,Thấp nhiệt uất huyết ứ,"bụng to, bụng căng, bụng trướng to, báng bụng, cổ trướng","Bụng to căng chắc nặng thì nổi gân xanh, hông đau sườn nhói, mắt vàng, mặt vàng xám, khô miệng, môi đỏ, buồn nóng, tiểu vàng giắt, đại tiện khô táo, lưỡi đỏ, rêu dầy, mạch huyền sác","lưỡi đỏ, rêu dầy",mạch huyền sác,Nhân trần cao thang hợp Hoá ứ thang gia giảm,"Nhân trần, Sơn chi, Đại hoàng, Qui đầu, Xích thược, Đan bì, Đào nhân, Hồng hoa, Đan sâm, Sơn giáp, Bạch truật, Trạch tả, Thanh bì, Mẫu lệ"
Cổ trướng,Âm hư thấp nhiệt,"bụng to, bụng căng, bụng trướng to, báng bụng, cổ trướng","Sắc mặt vàng tối, người gầy, khô miệng môi đỏ, nặng thì bụng ngực nổi gân xanh, chảy máu cam, chảy máu chân răng, cổ trướng to, chân phù, sốt hâm hấp hoặc sốt cao, phiền táo, miệng khô họng, lợm giọng, tiểu tiện đỏ ít, táo bón, chất lưỡi đỏ ít rêu, mạch huyền tế sác",chất lưỡi đỏ ít rêu,mạch huyền tế sác,"Tư âm lợi thấp, lương huyết hoá ứ phương","Đan bì, Bạch linh, Trạch tả, Thục địa, Hoài sơn, Sơn thù, Phục linh, Bạch truật, Qui đầu, Địa cốt bì, Mao căn, Chi tử, Hậu phác, Sa sâm, Thạch hộc, Sa tiền, Trần bì"
Cổ trướng,Âm hư huyết ứ,"bụng to, bụng căng, bụng trướng to, báng bụng, cổ trướng","Bụng to căng chắc, người gầy, nặng thì nổi gân xanh khắp vùng bụng ngực, mặt vàng xám, khô miệng môi đỏ, buồn bực, chân răng có khi chảy máu hoặc máu cam, tiểu vàng ngắn rắt, lưỡi đỏ khô, mạch huyền sác",lưỡi đỏ khô,mạch huyền sác,Nhất quán tiễn hợp Cách hạ trục ứ thang gia giảm,"Sa sâm, Đương qui, Kỉ tử, Mạch môn, Sinh địa, Xuyên luyện tử, Ngũ linh chi, Xuyên khung, Đào nhân, Đan bì, Xích thược, Ô dược, Huyền hồ, Cam thảo, Hương phụ, Hồng hoa, Chỉ sác (Nóng trong nhiều miệng khô môi đỏ gia Huyền sâm, Thạch hộc; Sốt về chiều gia Sài hồ, Địa cốt bì; Tiểu tiện ít gia Trư linh, Hoạt thạch; Chảy máu gia Tiên hạc thảo, Mao căn)"
Cổ trướng,Tỳ thận dương hư,"bụng to, bụng căng, bụng trướng to, báng bụng, cổ trướng","Bụng to căng đầy nặng về chiều tối, mệt mỏi ăn kém, bụng trướng, chân phù, tiểu tiện ít, đại tiện lỏng, sợ lạnh, sắc mặt vàng xanh nhợt, lưỡi nhạt hoặc bệu, rêu mỏng, mạch trầm tế","lưỡi nhạt hoặc bệu, rêu mỏng",mạch trầm tế,Tế sinh thận khí hoàn hợp Ngũ linh tán gia giảm,"Thục địa, Hoài sơn, Đan bì, Bạch linh, Trạch tả, Sơn thù, Nhục quế, Phụ tử, Ngưu tất, Sa tiền, Trư linh, Quế chi, Bạch truật"
Cận thị,Dương khí hư yếu - tiên thiên bất túc,"mắt đỏ, đỏ mắt, mắt sưng, sưng mắt, đau mắt, mắt đau, nhức mắt, cộm mắt","Mắt cận, mắt mỏi, chỉ nhìn được gần",,,Phương bổ khí sáng mắt (Phòng khám Đông y Nguyễn Hữu Toàn),"Phục thần, Bạch linh, Nhân sâm, Viễn trí, Xương bồ, Long sỉ"
Cận thị,Can thận hư,"mắt đỏ, đỏ mắt, mắt sưng, sưng mắt, đau mắt, mắt đau, nhức mắt, cộm mắt","Mắt cận, nhìn xa không rõ, mắt mỏi",,,Ngũ Tử Cận thị hoàn,"Tang thầm, Kỉ tử, Hoàng kỳ, Viễn trí, Hồng hoa, Xương bồ, Phúc bồn tử, Thanh tương tử, Ngũ vị, Băng phiến, Thăng ma"
Tê bì tứ chi,Can huyết hư,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","Gân bị co, co duỗi khó khăn, đau đớn, váng đầu hoa mắt, ít ngủ, kinh nguyệt ra ít, tay chân tê, móng tay không phát triển",,,Bổ can thang,"Qui đầu, Thục địa, Bạch thược, Mộc qua, Mạch môn, Trích thảo, Táo nhân, Kê huyết đằng, Tang kí sinh, Tục đoạn, Xuyên khung, Kỉ tử, Ngưu tất"
Tê bì tứ chi,Khí huyết hư,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","Người gầy, mệt mỏi, sợ gió lạnh, đoản khí, hồi hộp, dễ cảm mạo, chân đau tay mỏi, tê dại, vô lực",,,Thự dự hoàn (gia giảm),"Bạch linh, Bạch truật, Cam thảo, Can khương, Biển đậu, Quế chi, Phòng phong, Bạch chỉ, Mạch môn, Sài hồ, Cát cánh, Táo, Hoài sơn, Đẳng sâm, Thần khúc, Bạch thược, Qui đầu"
Tê bì tứ chi,Đàm thấp trở lạc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","Vai, tay, cổ tay, bàn tay tê đau, tràng vị không khoẻ, cơ bụng nhão, người hơi béo",,,Nhị truật thang (hoặc Nhị trần thang gia giảm),"Bạch truật, Phục linh, Trần bì, Nam tinh, Hương phụ, Hoàng cầm, Uy linh tiên, Khương hoạt, Bán hạ, Xương truật, Cam thảo, Sinh khương. (Nhị trần gia: Mộc qua, Xương truật, Ý dĩ nhân, Chỉ thực, Điếu đằng câu)"
Tê bì tứ chi,Phong tà nhập lạc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","Thủ túc ma mộc kèm tê bì một bên mặt, có thể đột nhiên phát sinh khẩu nhãn oa tà, nói khó khăn, nặng thì chảy nước dãi, hoặc kèm sợ lạnh phát sốt, rêu lưỡi trắng, mạch phù",rêu lưỡi trắng,mạch phù,Quân chính tán gia giảm,"Toàn yết, Bạch phụ tử, Thiên ma, Khương hoạt, Thương nhĩ tử, Khương trùng, Cam thảo, Phòng phong, Độc hoạt"
Tê bì tứ chi,Khí hư ma mộc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","tay chân dần dần tê bì, nằm co, ăn ít, thở ngắn, lười nói, tiếng nói nhỏ nhẹ, đại tiện nát, nước tiểu trắng xanh, chất lưỡi đạm, mạch nhược",chất lưỡi đạm,mạch nhược,"Tứ quân tử thang gia vị (gia Hoàng kỳ, Quế chi, Tang chi...)","Chích cam thảo, Hoàng kỳ, Phòng phong, Nhân sâm, Phục linh, Bạch truật, Quế chi, Tang chi"
Tê bì tứ chi,Huyết hư ma mộc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","tay chân co rút mà tê bì, người co vai hoặc lưng eo đều tê bì, sắc mặt môi trắng nhạt, hoa mắt chóng mặt, lưỡi nhạt, mạch tế",lưỡi nhạt,mạch tế,Tứ vật thang gia giảm,"Bạch thược, Xích thược, Ngưu tất, Thục địa, Đương quy, Xuyên khung, Độc hoạt, Tang kí sinh"
Tê bì tứ chi,Khí trệ ma mộc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","tay chân nặng nề mà tê bì, khi hoạt động thì đỡ, kèm ngực sườn đầy tức, hay thở dài, rêu lưỡi trắng mỏng, mạch huyền",rêu lưỡi trắng mỏng,mạch huyền,Tiêu dao tán gia giảm,"Bạch thược, Nhân sâm, Cam thảo, Sài hồ, Đương quy, Phục linh, Tang kí sinh, Bạch truật, Thông thảo"
Tê bì tứ chi,Ứ huyết trở lạc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","tay chân tê bì kèm môi miệng xanh tím, cơ nhục tê bì, chất lưỡi tím tối có điểm ứ huyết, mạch sáp",chất lưỡi tím tối có điểm ứ huyết,mạch sáp,Tứ vật đào hồng gia giảm,"Hồng hoa, Đương quy, Xích thược, Đào nhân, Xuyên khung, Sinh địa, Lạc thạch đằng, Kê huyết đằng"
Tê bì tứ chi,Thấp đàm trở lạc,"tê, ma mộc, châm chích, kiến bò, mất cảm giác","tay chân tê bì kèm tứ chi nặng nề, nặng đầu như quả tạ, buồn nôn và nôn, lưỡi bệu, rêu trắng bẩn, mạch hoạt","lưỡi bệu, rêu trắng bẩn",mạch hoạt,Đạo đàm thang gia giảm,"Bán hạ, Phục linh, Trần bì, Chế nam tinh, Chỉ thực, Thiên ma, Ý dĩ nhân"
Cốt lao,Hàn đàm ứ trở,,"Khớp xương đau ê ẩm, có lúc không đau, vận động hơi bị hạn chế và đau tăng, hơi sưng hoặc không sưng, không nóng, không đỏ, không có chứng trạng toàn thân rõ rệt",,,Dương hoà thang gia giảm (hoặc Thác lý tán),"Dương hoà thang: Thục địa, Ban long (Lộc giác giao), Bạch giới tử, Ma hoàng, Quế chi, Tục đoạn, Ngưu tất, Cam thảo. (Nếu sợ lạnh, lưỡi đạm, mạch trì thêm Phụ tử chế; Ăn kém, ỉa lỏng thêm Đẳng sâm, Hoàng kỳ, Bạch truật). Thác lý tán: Sinh Hoàng kỳ, Đẳng sâm, Qui đầu, Bạch thược, Xuyên sơn giáp, Tạo giác thích, Trần bì, Bạch linh, Cam thảo, Bạch giới tử"
Cốt lao,Âm hư hoả vượng,,"Các chứng trạng tại khớp xương khá rõ ràng, kèm sốt hâm hấp về chiều, ra mồ hôi trộm, ăn kém, gầy, khô miệng, lưỡi đỏ, rêu ít, mạch tế sác","lưỡi đỏ, rêu ít",mạch tế sác,Cốt lao thang,"Thanh hao, Miết giáp, Sài hồ, Địa cốt bì, Đan bì, Tục đoạn, Ngưu tất, Đào nhân, Hồng hoa. (Nếu mồ hôi trộm thêm Mẫu lệ, Ngân hoa; thấy ổ áp xe lạnh thêm Liên kiều, Bối mẫu)"
Cốt lao,Khí huyết đều hư,,"Các chứng trạng biến dạng khớp và xương, rỉ mủ lao không ngừng, toàn thân gầy yếu, tinh thần mệt mỏi, sắc mặt trắng bệch, sốt, ăn kém, hồi hộp, ra mồ hôi trộm, chất lưỡi đỏ, mạch tế sác",chất lưỡi đỏ,mạch tế sác,Thập toàn đại bổ thang (hoặc Đại bổ âm hoàn nếu thiên về âm hư hỏa vượng),"Thập toàn đại bổ: Đẳng sâm, Bạch truật, Bạch linh, Cam thảo, Xuyên khung, Đương qui, Thục địa, Bạch thược, Kê nội kim, Kỉ tử, Hoài sơn, Hoàng kỳ, Viễn trí, Ngũ vị, Nhục quế, Trần bì. Đại bổ âm hoàn: Long cốt, Mẫu lệ, Bá tử nhân, Qui bản, Tri mẫu, Hoàng bá, Thục địa"
Mạch nhãn,Phong nhiệt độc,"mắt đỏ, đỏ mắt, mắt sưng, sưng mắt, đau mắt, mắt đau, nhức mắt, cộm mắt","Mắt cảm thấy kệnh vướng, hơi sưng, mi mắt mọc mụn dính vào mi, sưng nóng đỏ, đau, tiến triển nhanh",,,Bài thập vị bại độc thang (Thanh nhiệt giải độc hoạt huyết tiêu viêm),"Thổ phục linh, Ké (có thể là Ké đầu ngựa), Bồ công anh, Kinh giới, Ngân hoa, Liên kiều, Xích thược"
Mạch nhãn,Chính hư tà lưu,"mắt đỏ, đỏ mắt, mắt sưng, sưng mắt, đau mắt, mắt đau, nhức mắt, cộm mắt","Mi mắt sưng kệnh, kèm theo có nhân mủ, đầu mụn đã mềm",,,Bài thuốc thác độc bài nùng,"Ngân hoa, Liên kiều, Trần bì, Bối mẫu, Đẳng sâm, Tạo giác thích, Bồ công anh, Cam thảo, Hoàng kỳ, Qui xuyên (Đương quy), Xuyên sơn giáp"
Thận quặn thống,Thấp nhiệt uất kết,,"Đột nhiên đau quặn bụng dưới dữ dội, đau lan ra sau lưng và lan xuống mé trong đùi, vùng bẹn, đường tiểu đau, tức, muốn tiểu không tiểu được, mặt tái, ra mồ hôi, muốn nôn hoặc nôn mửa, tiểu ra máu. Đau đứng ngồi không yên",,,Thạch Vi Tán gia vị (hoặc Tam Kim Bài Thạch Thang),"Kim tiền thảo, Hải kim sa, Kê nội kim, Thạch vi, Cù mạch, Biển súc, Hoạt thạch, Xa tiền tử, Mộc thông, Chi tử, Xuyên Ngưu tất, Tiểu kế, Bạch thược, Cam thảo"
Thanh quang,Âm hư dương cang,,"Đau nửa đầu, nhức mắt, mắt căng, võng mạc viêm tắc, nhãn áp tăng, thị lực giảm mạnh, miệng khô họng ráo, lưỡi đỏ ít rêu, người gầy, mạch sác",lưỡi đỏ ít rêu,mạch sác,Dục âm tiềm dương thông mạch thang,"Sinh địa, Trân châu, Hoài sơn, Mạch môn, Tri mẫu (tẩm muối), Hoàng bá (tẩm muối), Long cốt, Ngưu tất, Đan sâm, Xích thược, Thuyền thoái, Mộc tặc, Kỉ tử, Bạch thược, Sa sâm"
Thanh quang,Can uất,,"Đau nửa đầu, nhức mắt, giảm thị lực, tăng nhãn áp, tinh thần uất ức không vui, mạch huyền hoặc huyền sác",,mạch huyền hoặc huyền sác,Tiêu dao tán hợp Tả can giải uất thang,"Cát cánh, Sung úy tử, Sa tiền, Đình lịch tử, Phòng phong, Hoàng cầm, Hương phụ, Hạ khô thảo, Lô căn, Cam thảo, (kết hợp bột Tiêu dao tán)"
Nha dĩ xuất huyết,Vị hoả,,"Máu đỏ tươi, hôi miệng, khát nước, chân răng sưng, táo bón",,,Thanh tả vị nhiệt (trà thuốc),"Hoàng cầm, Đại hoàng, Hoàng liên, Cam thảo"
Nha dĩ xuất huyết,Âm hư,,"Chân răng chảy máu đỏ tối, hôi miệng tanh, chân răng không sưng, khô miệng họng ráo, lưỡi đỏ bóng ít rêu, mạch tế sác",lưỡi đỏ bóng ít rêu,mạch tế sác,Tư âm giáng hoả,"Tế Sinh địa, Hoàng liên, Tri mẫu, Bồ hoàng sao, Thanh đại, Đan bì, Hoàng bá sao, Địa cốt bì, Nhân trung bạch, Hoè sao đen"
Nha dĩ xuất huyết,Can hoả,,"Kẽ răng chảy máu, miệng đắng dính, táo bón, mất ngủ, nhổ ra đờm vàng dính, mặt mắt đỏ, mạch huyền",,mạch huyền,Thanh can lương huyết chỉ huyết,"Mao căn, Mạch môn, Sinh địa, Dạ giao đằng, Hạ khô thảo, Địa cốt bì, Long đởm thảo, Đởm nam tinh, Thanh đại, Ô mai, Hải cáp phấn, Cam thảo. (Uống kèm Huyền minh phấn sáng sớm; khi đỡ giảm lượng thuốc, thêm Hoài sơn)"
Nha dĩ xuất huyết,Dương hư,,"Chảy máu chân răng lâu ngày, lượng ít, sắc nhạt, mặt nhợt, tay chân không ấm, mạch nhược",,mạch nhược,Ôn dương chỉ huyết,"Chế phụ phiến, Sinh Long cốt, Sơn thù, Nhục quế, Sinh Mẫu lệ, Tam thất bột"
Tỵ nục,Huyết nhiệt,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Chảy máu mũi lượng nhiều, đỏ tươi, chảy máu chân răng rỉ rả có khi chảy cả máu tai, lưỡi khô, đỏ, khô miệng, mũi ráo. Nặng thì răng lung lay, háo khát, bứt rứt, hôi miệng, táo bón. Mạch tế sác",lưỡi khô,,Phương lương huyết chỉ huyết,"Sinh địa, Địa cốt bì, Hòe hoa sao, Mộc thông, Huyền sâm, Trắc bách diệp, Nhọ nồi"
Tỵ nục,Huyết nhiệt,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Chảy máu mũi lượng nhiều, đỏ tươi, chảy máu chân răng rỉ rả có khi chảy cả máu tai, lưỡi khô, đỏ, khô miệng, mũi ráo. Nặng thì răng lung lay, háo khát, bứt rứt, hôi miệng, táo bón. Mạch tế sác",lưỡi khô,,Chu thị thanh hoả nhị diệu,"Sinh địa, Mạch môn"
Tỵ nục,Phế nhiệt,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Lượng huyết ra đằng mũi khá nhiều, sắc đỏ tươi, có thêm các chứng mũi khô ráo và đau, miệng khát tâm phiền",,,Tang cúc ẩm khứ bạc hà gia Đan bì Mao căn (thực tế gồm Đào nhân Mao căn),"Tang diệp, Cúc hoa, Hạnh nhân, Liên kiều, Cát cánh, Cam thảo, Đào nhân, Mao căn"
Tỵ nục,Vị nhiệt,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Lượng huyết ra đằng mũi khá nhiều, sắc đỏ tươi, có thêm các chứng mũi khô ráo và đau, miệng khát tâm phiền",,,Ngọc nữ tiễn,"Thạch cao, Thục địa, Mạch môn, Tri mẫu, Ngưu tất"
Tỵ nục,Nhiệt kết,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Đại tiện bí kết, mặt mắt đỏ",,,Nhiếp thị tam hoàng thang,"Hoàng cầm, Hoàng liên, Đại hoàng"
Tỵ nục,Can uất,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Bị dụ phát do tình chí kích thích, sắc huyết đỏ, tâm phiền dễ giận, váng đầu, mắt đỏ, miệng đắng khô họng",,,Chu thị chỉ nục phương,"Linh dương giác phấn, Chân châu, Bạch Tật lê, Thạch quyết minh, Câu đằng (gia Hạ khô thảo, Cúc hoa, Hoàng cầm nếu kiêm nhiệt; khi xuất huyết ồ ạt gia Hạn liên thảo, Hoè mễ, Xuyến thảo, Sơn trà hoa)"
Tỵ nục,Âm hư hỏa vượng,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Chảy máu cam tái phát nhiều lần, kiêm chứng sốt nhẹ dai dẳng, lưng gối đau mỏi",,,Long đởm tả can thang gia giảm,"Long đởm thảo, Hoàng cầm, Chi tử (sao đen), Trạch tả, Mộc thông, Qui đầu, Sinh địa, Cam thảo, Huyền sâm, Mạch môn"
Tỵ nục,Khí huyết hư,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Có hiện tượng khí huyết hư và không có hiện tượng nhiệt, xuất huyết sắc nhạt, tái phát nhiều lần, lâu ngày không khỏi, tinh thần mệt mỏi yếu sức, đoản khí ngại nói, ăn kém, đại tiện lỏng, hồi hộp mất ngủ",,,Chỉ nục qui tỳ thang,"Hoàng kỳ, Bạch truật, Đẳng sâm, Thục địa, Qui đầu, Trần tụng than, Cam thảo, Hoài sơn, Huyết dụ thán, Táo"
Tỵ nục,Thận dương hư,"chảy máu cam, chảy máu mũi, máu cam, máu mũi, chảy máu, xuất huyết, nục huyết, tỵ nục","Như chứng khí huyết hư có kèm chứng trạng mặt nhạt, tiểu tiện trong, tay chân không ấm, hoặc sau khi ốm bị chảy máu cam",,,Trượng thị thận thập nhất thang,"Thỏ ty tử, Ba kích, Phục linh, Hoàng kỳ, Viễn trí, Cam thảo, Bán hạ, Nhục thung dung, Bạch truật, Nhân sâm, Qui đầu, Táo nhân, Trần bì"
Hung thống,Khí trệ huyết ứ,,"Đau sau xương ức đột ngột, tức ngực như vật đè, đau lan lên vai, quai hàm, tay trái, cổ, cảm giác bồn chồn lo sợ, cơn kéo dài vài giây đến vài phút, mạch Trầm Tế Sác. Cơn không điển hình: chỉ tức sau xương ức, hoặc đau ở tay, thượng vị",,mạch Trầm Tế Sác. Cơn không điển hình: chỉ tức sau xương ức,Phương hành khí hoạt huyết thông dương hoá trọc,"Hồng hoa, Sài hồ, Trần bì, Cát cánh, Phỉ bạch, Chỉ sác, Qua lâu, Xuyên khung, Qui đầu, Thục địa, Xích thược, Đan sâm, Bán hạ, Huyền hồ, Uất kim"
Viêm cầu thận cấp,Phong thủy,"phù, tiểu ít, tiểu đục, tiểu ra máu, phù mặt, phù chân, albumin, protein niệu","Phù mặt và nửa người trên, sau đó phù toàn thân, kèm biểu chứng: gai rét, sốt, rêu lưỡi trắng dày, tiểu tiện ít, mạch phù",rêu lưỡi trắng dày,mạch phù,Việt tỳ thang gia giảm,"Táo, Cát căn, Quế chi, Sa tiền, Sinh khương, Mã đề, Bạch truật, Ma hoàng, Mộc thông, Thạch cao"
Viêm cầu thận cấp,Thủy thấp,"phù, tiểu ít, tiểu đục, tiểu ra máu, phù mặt, phù chân, albumin, protein niệu","Phù toàn thân, đi giải ít, sốt nhẹ, rêu lưỡi trắng dày, mạch trầm hoãn hoặc đới sác",rêu lưỡi trắng dày,mạch trầm hoãn hoặc đới sác,Ngũ linh tán gia giảm (kết hợp Ngũ bì ẩm),"Tang bì, Đại phúc bì, Ngũ gia bì, Bạch truật, Quế chi, Mã đề, Bồ công anh, Khương bồ (có thể là Thương truật), Trư linh, Trạch tả, Bạch linh, Trần bì"
Viêm cầu thận cấp,Thấp nhiệt,"phù, tiểu ít, tiểu đục, tiểu ra máu, phù mặt, phù chân, albumin, protein niệu","Phù toàn thân, khát nước nhiều, nước tiểu đỏ, ít",,,Đạo xích tán gia giảm,"Mao căn, Sinh địa, Lá cối xay, Mã đề, Mộc thông, Trúc diệp, Bạch linh, Cam thảo, Thổ phục (có thể là Thổ phục linh)"
Tắc lệ đạo,Phong kết hợp Can thận âm hư,,"Nước mắt tự nhiên chảy ra, gặp gió chảy nhiều hơn, có thể kèm viêm, sưng nề, đỏ ở góc mắt trong, nhiễm trùng mắt tái đi tái lại, xuất tiết nhầy mắt, nhìn mờ",,,Khu phong bổ Can thận,"Bạch chỉ, Xuyên khung, Ô tặc cốt, Tế tân, Uy linh tiên, Sinh địa, Kỉ tử, Bạch thược"
